,Unnamed: 0,Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems,breed
0,0,retriever,canada,"yellow,black,chocolate",21-24,brown,10-12,"loyal,friendly,intelligent,energetic,good-natured","hipdysplasia,obesity,earinfections",retriever
1,1,germanshepherd,germany,"black,tan",22-26,brown,7-10,"loyal,intelligent,protective,confident,trainable","hipdysplasia,elbowdysplasia,pancreatitis",
2,2,bulldog,england,"white,red",12-16,brown,8-10,"loyal,calm,gentle,brave","skinallergies,respiratoryissues,obesity",
3,3,poodle,france,"white,black,brown,apricot",10-15,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
4,4,beagle,england,"white,tan,red,lemon",13-15,brown,12-15,"curious,friendly,energetic,good-natured","earinfections,hipdysplasia,epilepsy",
5,5,chihuahua,mexico,"black,brown,tan,white",6-9,"brown,blue",12-20,"loyal,energetic,confident,sensitive","dentalproblems,eyeissues,respiratoryissues",
6,6,boxer,germany,"fawn,brindle",21-25,brown,10-12,"loyal,energetic,intelligent,playful,protective","hipdysplasia,cancer,heartconditions",
7,7,retriever,scotland,golden,21-24,brown,10-12,"intelligent,friendly,kind,loyal,good-natured","hipdysplasia,cancer,skinallergies",retriever
8,8,pug,china,"fawn,black",10-14,brown,12-15,"loyal,playful,affectionate,social,charming","eyeproblems,respiratoryissues,obesity",
9,9,rottweiler,germany,"black,tan",22-27,brown,8-10,"loyal,protective,confident,strong","hipdysplasia,cancer,elbowdysplasia",
10,10,siberianhusky,russia,"black,white",21-24,blue,12-15,"independent,energetic,intelligent,playful,strong","hipdysplasia,eyeproblems,hereditarymyopathy",
11,11,dachshund,germany,"black,tan",5-9,"brown,blue",12-15,"loyal,energetic,playful,curious","intervertebraldiscdisease,hipdysplasia,diabetes",
12,12,shihtzu,china,"black,white,brown",9-10,brown,10-16,"affectionate,playful,confident,good-natured","dentalproblems,respiratoryissues,eyeproblems",
13,13,bichonfrise,france,white,9-11,brown,12-15,"playful,affectionate,intelligent,social","dentalproblems,eyeproblems,bladderstones",
14,14,australianshepherd,australia,"black,red",18-23,"brown,blue",12-15,"intelligent,energetic,loyal,trainable","hipdysplasia,eyeproblems,epilepsy",
15,15,bassethound,france,"black,tan",11-15,brown,10-12,"affectionate,patient,gentle,good-natured","dentalproblems,earinfections,obesity",
16,16,cockerspaniel,england,"black,brown",14-15,brown,12-15,"affectionate,intelligent,energetic,good-natured","earinfections,hipdysplasia,eyeproblems",
17,17,frenchbulldog,france,"white,black,brindle",11-12,brown,10-12,"affectionate,playful,good-natured","breathingproblems,eyeproblems,hipdysplasia",
18,18,pomeranian,germany,"orange,sable,black",6-7,brown,12-16,"playful,energetic,intelligent,good-natured","dentalproblems,eyeproblems,obesity",
19,19,greatdane,germany,"black,blue,fawn,harlequin",28-34,brown,8-10,"gentle,loyal,intelligent,good-natured","hipdysplasia,cancer,heartconditions",
20,20,mastiff,england,"apricot,fawn",30-34,brown,8-10,"loyal,gentle,protective,good-natured","hipdysplasia,heartconditions,cancer",
21,21,newfoundland,canada,"black,brown,grey",26-28,brown,9-11,"loyal,intelligent,gentle,good-natured","hipdysplasia,heartconditions,cancer",
22,22,saintbernard,switzerland,"red,white",26-30,brown,8-10,"loyal,intelligent,gentle,protective","hipdysplasia,cancer,heartconditions",
23,23,oldenglishsheepdog,england,"blue,grey",22-26,brown,10-12,"gentle,intelligent,good-natured,protective","hipdysplasia,eyeproblems,skinallergies",
24,24,irishwolfhound,ireland,"grey,red,black",30-35,brown,6-8,"gentle,loyal,intelligent,good-natured","hipdysplasia,heartconditions,cancer",
25,25,greyhound,england,"black,white,brindle",26-30,brown,10-12,"intelligent,athletic,sensitive,good-natured","hipdysplasia,eyeproblems,heartconditions",
26,26,scottishdeerhound,scotland,"blue,grey",28-32,brown,8-10,"gentle,intelligent,good-natured,independent","hipdysplasia,heartconditions,cancer",
27,27,greatpyrenees,france,white,25-32,brown,10-12,"loyal,intelligent,gentle,protective","hipdysplasia,cancer,skinallergies",
28,28,sharpei,china,"cream,fawn",18-20,brown,8-12,"independent,loyal,intelligent,good-natured","skinallergies,eyeproblems,hipdysplasia",
29,29,dobermanpinscher,germany,"black,red",24-28,brown,10-12,"loyal,energetic,intelligent,protective","hipdysplasia,heartconditions,cancer",
30,30,weimaraner,germany,"silver,grey",25-29,"blue,grey",10-12,"energetic,intelligent,good-natured,loyal","hipdysplasia,eyeproblems,cancer",
31,31,belgianmalinois,belgium,"fawn,mahogany",22-26,brown,12-14,"intelligent,energetic,loyal,protective","hipdysplasia,eyeproblems,skinallergies",
32,32,rhodesianridgeback,rhodesia,lightwheaten,25-27,brown,10-12,"intelligent,athletic,loyal,good-natured","hipdysplasia,eyeproblems,cancer",
33,33,englishsetter,england,"black,white,liver",23-27,brown,12-15,"intelligent,energetic,affectionate,good-natured","hipdysplasia,eyeproblems,cancer",
34,34,pointer,england,"black,white,liver",21-27,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
35,35,gordonsetter,scotland,"black,tan",23-27,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
36,36,irishsetter,ireland,red,24-28,brown,12-15,"intelligent,energetic,good-natured,affectionate","hipdysplasia,eyeproblems,cancer",
37,37,papillon,france,"white,black,sable,red",8-11,brown,14-16,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,bladderstones",
38,38,pekingese,china,"black,white,red",6-9,brown,12-15,"independent,intelligent,affectionate,good-natured","dentalproblems,respiratoryissues,eyeproblems",
39,39,poodle,france,"white,black,brown,apricot",10-11,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
40,40,poodle,france,"white,black,brown,apricot",10-15,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
41,41,poodle,france,"white,black,brown,apricot",15-22,"brown,blue",12-15,"intelligent,active,affectionate,hypoallergenic","hipdysplasia,epilepsy,bladderstones",
42,42,affenpinscher,germany,"black,brown,red",9-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeproblems,skinallergies",
43,43,bostonterrier,unitedstates,"black,white",15-17,brown,11-13,"intelligent,energetic,affectionate,good-natured","eyeproblems,respiratoryissues,skinallergies",
44,44,brusselsgriffon,belgium,"black,red",7-10,brown,12-15,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,respiratoryissues",
45,45,cairnterrier,scotland,"black,wheaten,red",10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeproblems,skinallergies",
46,46,chinesecrested,china,"pink,white,black",11-13,brown,13-18,"intelligent,energetic,affectionate,good-natured","dentalproblems,eyeproblems,skinallergies",
47,47,miniatureschnauzer,germany,"black,salt&pepper,white",12-14,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,pancreatitis,diabetes",
48,48,standardschnauzer,germany,"black,salt&pepper",18-20,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,pancreatitis,diabetes",
49,49,westhighlandwhiteterrier,scotland,white,11-12,brown,12-16,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
50,50,australianterrier,australia,"red,black&tan",10-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
51,51,borderterrier,england,"red,wheaten,black",10-16,brown,12-16,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
52,52,cotondetulear,madagascar,white,9-11,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
53,53,englishtoyspaniel,england,"white,blenheim",10-12,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
54,54,australianstumpytailcattledog,australia,"red,black",17-20,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
55,55,pug,china,"black,fawn",10-14,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,respiratoryissues,eyeproblems",
56,56,americaneskimodog,unitedstates,white,15-19,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
57,57,australiancattledog,australia,"blue,red",17-20,brown,12-16,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
58,58,bassethound,france,"black,white,red",11-15,brown,10-12,"gentle,good-natured,loyal,intelligent","dentalproblems,eyeissues,skinallergies",
59,59,australiankelpie,australia,"red,black",17-20,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
60,60,bloodhound,england,"red,black",22-27,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
61,61,bordercollie,england,"black,white,red",18-22,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
62,62,australianshepherd,australia,bluemerle,20-23,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
63,63,americanbulldog,unitedstates,"white,red",20-28,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
64,64,australianshepherd,australia,"black,red",18-23,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,skinallergies,hipdysplasia",
65,65,borzoi,russia,"white,cream,red",26-29,brown,10-12,"gentle,good-natured,loyal,intelligent","dentalproblems,eyeissues,skinallergies",
66,66,bullterrier,england,"white,red",20-22,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
67,67,canecorso,italy,"black,red",22-28,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
68,68,cardiganwelshcorgi,wales,"red,sable,black",10-12,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
69,69,chesapeakebayretriever,unitedstates,"brown,tan",21-26,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",retriever
70,70,saluki,middleeast,"cream,red",23-28,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
71,71,englishsetter,england,"liver,blue",25-27,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
72,72,englishspringerspaniel,england,"black,white,liver",20-24,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
73,73,fieldspaniel,england,"black,liver",15-18,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
74,74,finnishspitz,finland,"red,golden",15-20,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
75,75,flat-coatedretriever,england,"black,liver",22-25,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",retriever
76,76,australianterrier,australia,red,10-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
77,77,giantschnauzer,germany,"black,salt&pepper",25-28,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
78,78,retriever,scotland,gold,21-24,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",retriever
79,79,gordonsetter,scotland,"black,tan",24-27,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
80,80,australiancattledog,australia,"blue,red",17-20,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
81,81,greyhound,england,"white,black,red",26-30,brown,10-12,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
82,82,harrier,england,"red,black&tan",18-21,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
83,83,irishsetter,ireland,red,26-28,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
84,84,irishterrier,ireland,red,14-16,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
85,85,irishwaterspaniel,ireland,brown,21-24,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
86,86,irishwolfhound,ireland,"grey,red",30-35,brown,6-10,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
87,87,hound,italy,"red,black",13-15,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
88,88,jackrussellterrier,england,"white,black&tan",10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
89,89,japanesechin,japan,"black,red",7-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
90,90,keeshond,netherlands,"black,cream",17-19,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
91,91,kerryblueterrier,ireland,blue,17-19,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
92,92,kuvasz,hungary,white,25-29,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
93,93,lhasaapso,tibet,"black,white",10-11,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
94,94,maltese,malta,white,8-10,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
95,95,miniaturepinscher,germany,"red,stagred",10-12,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
96,96,samoyed,russia,white,21-23,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
97,97,bordercollie,scotland,"sable,black",13-16,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
98,98,staffordshirebullterrier,england,"white,black,red",14-16,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
99,99,vizsla,hungary,red,20-24,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
100,100,anatolianshepherd,turkey,fawn,27-29,brown,12-14,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
101,101,welshcorgi,wales,"red,sable",10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
102,102,welshspringerspaniel,wales,"liver,white",20-25,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
103,103,welshterrier,wales,"black,tan",10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
104,104,westhighlandwhiteterrier,scotland,white,10-12,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
105,105,hound,england,"white,black,red",18-22,brown,12-15,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
106,106,wirehairedpointinggriffon,belgium,"brown,white",21-24,brown,12-14,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
107,107,xoloitzcuintli,mexico,"black,red",10-14,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
108,108,yorkshireterrier,england,blue&tan,7-8,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
109,109,akita,japan,"red,fawn,sesame",24-28,brown,10-12,"loyal,intelligent,good-natured,energetic","dentalproblems,eyeissues,skinallergies",
110,110,africanis,africa,"brown,red",22-25,brown,12-15,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
111,111,basenji,congo,"red,black&white",16-17,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
112,112,catahoulaleoparddog,unitedstates,"merle,black",20-26,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
113,113,cockerspaniel,england,"black,brown",14-15,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
114,114,miniatureshibainu,japan,"red,sesame",13-16,brown,12-15,"intelligent,energetic,playful,good-natured","dentalproblems,eyeissues,skinallergies",
115,115,belgiantervuren,belgium,fawn,22-26,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
116,116,pharaohhound,malta,red,21-25,brown,12-14,"intelligent,energetic,good-natured,loyal","dentalproblems,eyeissues,skinallergies",
